Module,Version
avm-res-apimanagement-service,0.0.6
avm-res-app-containerapp,0.7.4
avm-res-app-job,0.2.1
avm-res-app-managedenvironment,0.4.0
avm-res-authorization-roleassignment,0.3.0
avm-res-automation-automationaccount,0.2.0
avm-res-avs-privatecloud,0.9.1
avm-res-azurestackhci-cluster,2.0.2
avm-res-azurestackhci-logicalnetwork,2.0.0
avm-res-azurestackhci-virtualmachineinstance,2.1.1
avm-res-batch-batchaccount,0.2.0
avm-res-cache-redis,0.4.0
avm-res-cdn-profile,0.1.9
avm-res-certificateregistration-certificateorder,0.1.0
avm-res-cognitiveservices-account,0.11.0
avm-res-communication-emailservice,0.2.0
avm-res-compute-capacityreservationgroup,0.1.0
avm-res-compute-disk,0.3.2
avm-res-compute-diskencryptionset,0.1.0
avm-res-compute-gallery,0.2.0
avm-res-compute-hostgroup,0.1.2
avm-res-compute-proximityplacementgroup,0.1.0
avm-res-compute-sshpublickey,0.1.0
avm-res-compute-virtualmachine,0.20.0
avm-res-compute-virtualmachinescaleset,0.9.0
avm-res-containerinstance-containergroup,0.2.0
avm-res-containerregistry-registry,0.5.1
avm-res-containerservice-managedcluster,0.4.3
avm-res-databricks-workspace,0.3.0
avm-res-datafactory-factory,0.1.0
avm-res-dataprotection-backupvault,1.0.1
avm-res-dataprotection-resourceguard,0.1.0
avm-res-dbformysql-flexibleserver,0.1.5
avm-res-dbforpostgresql-flexibleserver,0.2.0
avm-res-desktopvirtualization-applicationgroup,0.2.1
avm-res-desktopvirtualization-hostpool,0.4.0
avm-res-desktopvirtualization-scalingplan,0.2.1
avm-res-desktopvirtualization-workspace,0.2.2
avm-res-devcenter-devcenter,0.1.0
avm-res-devopsinfrastructure-pool,0.3.1
avm-res-documentdb-databaseaccount,0.10.0
avm-res-documentdb-mongocluster,0.1.0
avm-res-edge-site,3.0.0
avm-res-eventgrid-domain,0.1.0
avm-res-eventgrid-topic,0.1.1
avm-res-eventhub-namespace,0.1.0
avm-res-hybridcontainerservice-provisionedclusterinstance,2.0.2
avm-res-insights-autoscalesetting,0.1.2
avm-res-insights-component,0.2.0
avm-res-insights-datacollectionendpoint,0.1.0
avm-res-keyvault-vault,0.10.2
avm-res-kusto-cluster,0.1.0
avm-res-logic-workflow,0.1.2
avm-res-machinelearningservices-workspace,0.9.0
avm-res-maintenance-maintenanceconfiguration,0.1.0
avm-res-managedidentity-userassignedidentity,0.3.4
avm-res-management-servicegroup,0.1.0
avm-res-netapp-netappaccount,0.3.0
avm-res-network-applicationgateway,0.5.1
avm-res-network-applicationgatewaywebapplicationfirewallpolicy,0.2.0
avm-res-network-applicationsecuritygroup,0.1.1
avm-res-network-azurefirewall,0.4.0
avm-res-network-bastionhost,0.9.0
avm-res-network-connection,0.2.0
avm-res-network-ddosprotectionplan,0.3.0
avm-res-network-dnsresolver,0.8.0
avm-res-network-dnszone,0.2.1
avm-res-network-expressroutecircuit,0.3.3
avm-res-network-firewallpolicy,0.3.4
avm-res-network-frontdoorwebapplicationfirewallpolicy,0.1.0
avm-res-network-ipgroup,0.1.0
avm-res-network-loadbalancer,0.5.0
avm-res-network-localnetworkgateway,0.2.0
avm-res-network-natgateway,0.2.1
avm-res-network-networkinterface,0.1.1
avm-res-network-networkmanager,0.2.1
avm-res-network-networksecuritygroup,0.5.1
avm-res-network-networkwatcher,0.3.2
avm-res-network-privatednszone,0.5.0
avm-res-network-privateendpoint,0.2.0
avm-res-network-publicipaddress,0.2.1
avm-res-network-publicipprefix,0.1.0
avm-res-network-routetable,0.5.0
avm-res-network-trafficmanagerprofile,0.1.0
avm-res-network-virtualnetwork,0.17.1
avm-res-operationalinsights-workspace,0.5.1
avm-res-oracledatabase-cloudexadatainfrastructure,0.3.1
avm-res-oracledatabase-cloudvmcluster,0.3.2
avm-res-portal-dashboard,0.1.0
avm-res-recoveryservices-vault,0.3.2
avm-res-redhatopenshift-openshiftcluster,0.0.2
avm-res-relay-namespace,0.1.1
avm-res-resourcegraph-query,0.1.0
avm-res-resources-resourcegroup,0.2.2
avm-res-search-searchservice,0.2.0
avm-res-servicebus-namespace,0.4.0
avm-res-sql-managedinstance,0.1.5
avm-res-sql-server,0.1.6
avm-res-storage-storageaccount,0.6.7
avm-res-web-connection,0.1.0
avm-res-web-hostingenvironment,2.0.0
avm-res-web-serverfarm,2.0.0
avm-res-web-site,0.20.0
avm-res-web-staticsite,0.6.2
