Module,Version
avm-ptn-aca-lza-hosting-environment,0.1.0
avm-ptn-aiml-ai-foundry,0.10.0
avm-ptn-aiml-landing-zone,0.4.0
avm-ptn-aks-dev,0.2.0
avm-ptn-aks-economy,0.1.0
avm-ptn-aks-enterprise,0.1.0
avm-ptn-aks-production,0.5.0
avm-ptn-alz,0.19.0
avm-ptn-alz-connectivity-hub-and-spoke-vnet,0.16.11
avm-ptn-alz-connectivity-virtual-wan,0.13.5
avm-ptn-alz-management,0.9.0
avm-ptn-alz-sub-vending,0.1.1
avm-ptn-avd-lza-insights,0.1.4
avm-ptn-avd-lza-managementplane,0.3.2
avm-ptn-azuremonitorwindowsagent,2.0.0
avm-ptn-cicd-agents-and-runners,0.5.2
avm-ptn-ephemeral-credential,0.1.0
avm-ptn-function-app-storage-private-endpoints,0.3.0
avm-ptn-hci-ad-provisioner,1.0.0
avm-ptn-hci-server-provisioner,1.0.0
avm-ptn-monitoring-amba-alz,0.3.0
avm-ptn-network-private-link-private-dns-zones,0.23.1
avm-ptn-network-routeserver,0.1.5
avm-ptn-odaa,0.1.0
avm-ptn-policyassignment,0.2.0
avm-ptn-virtualwan,0.14.1
